audience_freshness,rt_audience_score,rt_freshness,rt_score,imdb_rating,length,rank_in_year,rating,release_date,title,year,revenue,rated_r
77,3.7,70,6.2,7.6,128,8,PG-13,25-Dec-09,Sherlock Holmes,2009,576744932.8,FALSE
84,4,79,6.8,7.8,100,10,R,5-Jun-09,The Hangover,2009,514511873.6,TRUE
61,3.6,28,4.7,4.6,130,7,PG-13,20-Nov-09,The Twilight Saga: New Moon,2009,781234707.8,FALSE
58,3.5,19,3.9,6,150,4,PG-13,24-Jun-09,Transformers: Revenge of the Fallen,2009,920434198.7,FALSE
90,3.8,98,8.7,8.3,96,6,PG,29-May-09,Up,2009,804914384.8,FALSE
60,3.6,41,5.4,6.5,92,4,PG-13,2-Jul-08,Hancock,2008,684753923.9,FALSE
54,3.3,78,6.9,6.2,122,2,PG-13,22-May-08,Indiana Jones and the Kingdom of the Crystal Skull,2008,862689853.3,FALSE
91,4.2,93,7.6,7.9,126,8,PG-13,2-May-08,Iron Man,2008,641750240.9,FALSE
82,3.9,87,7.2,7.6,92,3,PG,6-Jun-08,Kung Fu Panda,2008,692823108.7,FALSE
66,3.6,64,5.9,6.7,89,6,PG,7-Nov-08,Madagascar: Escape 2 Africa,2008,662286859.4,FALSE
66,3.6,54,5.5,6.4,108,5,PG-13,18-Jul-08,Mamma Mia!,2008,668787232.4,FALSE
58,3.4,65,6.1,6.7,106,7,PG-13,14-Nov-08,Quantum of Solace,2008,642755355.8,FALSE
73,3.7,67,6.3,6.6,150,10,PG,16-May-08,The Chronicles of Narnia: Prince Caspian,2008,460239821.3,FALSE
94,4.4,94,8.6,9,152,1,PG-13,18-Jul-08,The Dark Knight,2008,1093392303,FALSE
89,4.2,96,8.5,8.4,98,9,G,27-Jun-08,WALL-E,2008,571713515.7,FALSE
89,4.1,60,6.1,7.8,117,10,R,9-Mar-07,300,2007,519365892.2,TRUE
81,3.9,79,6.9,7.4,138,2,PG-13,11-Jul-07,Harry Potter and the Order of the Phoenix,2007,1070332714,FALSE
68,3.6,70,6.4,7.2,101,7,PG-13,14-Dec-07,I Am Legend,2007,666589609.9,FALSE
67,3.6,35,4.8,6.5,124,9,PG,21-Dec-07,National Treasure: Book of Secrets,2007,520842241.3,FALSE
72,3.8,45,5.5,7.1,169,1,PG-13,25-May-07,Pirates of the Caribbean: At World's End,2007,1097133564,FALSE
87,3.9,96,8.5,8,111,6,G,29-Jun-07,Ratatouille,2007,710271758.1,FALSE
53,3.4,40,5.4,6.1,93,4,PG,18-May-07,Shrek the Third,2007,909845580,FALSE
51,3.3,63,6.2,6.2,139,3,PG-13,4-May-07,Spider-Man 3,2007,1014515715,FALSE
77,3.7,90,7.6,7.4,87,8,PG-13,27-Jul-07,The Simpsons Movie,2007,600223218.9,FALSE
86,4.1,57,5.8,7.2,144,5,PG-13,3-Jul-07,Transformers,2007,808210413.4,FALSE
80,3.7,74,6.9,7.2,117,6,G,9-Jun-06,Cars,2006,541086305.4,FALSE
89,3.9,95,7.8,8,144,4,PG-13,17-Nov-06,Casino Royale,2006,701617723.4,FALSE
70,3.6,75,6.9,6.5,108,10,PG,17-Nov-06,Happy Feet,2006,450143548.7,FALSE
71,3.6,57,6.1,6.9,91,3,PG,31-Mar-06,Ice Age: The Meltdown,2006,774110496.2,FALSE
69,3.3,70,6.6,6.8,126,8,PG-13,5-May-06,Mission: Impossible III,2006,465971959.2,FALSE
67,3.5,44,5.3,6.4,108,5,PG,22-Dec-06,Night at the Museum,2006,672845512.9,FALSE
72,3.9,54,6,7.3,151,1,PG-13,7-Jul-06,Pirates of the Caribbean: Dead Man's Chest,2006,1248736560,FALSE
61,3.3,76,7,6.1,154,9,PG-13,28-Jun-06,Superman Returns,2006,458044146.7,FALSE
57,3.2,25,4.8,6.5,149,2,PG-13,19-May-06,The Da Vinci Code,2006,888069619.9,FALSE
62,3.6,58,5.9,6.8,104,7,PG-13,26-May-06,X-Men: The Last Stand,2006,538013486,FALSE
94,3.9,85,7.7,8.3,140,9,PG-13,15-Jun-05,Batman Begins,2005,450608889.1,FALSE
51,3,83,7.2,6.7,115,8,PG,15-Jul-05,Charlie and the Chocolate Factory,2005,574240396.1,FALSE
74,3.4,88,7.5,7.6,157,1,PG-13,18-Nov-05,Harry Potter and the Goblet of Fire,2005,1083174496,FALSE
62,3.4,69,6.3,6.7,118,10,PG-13,11-Feb-05,Hitch,2005,445035858,FALSE
50,2.8,84,7.7,7.3,187,5,PG-13,14-Dec-05,King Kong,2005,665579149.1,FALSE
67,3.4,55,6.1,6.9,86,6,PG,27-May-05,Madagascar,2005,644014477,FALSE
58,3.4,59,6,6.5,120,7,PG-13,10-Jun-05,Mr. & Mrs. Smith,2005,578156074.8,FALSE
65,3.1,80,7.2,7.7,140,2,PG-13,19-May-05,Star Wars Episode III: Revenge of the Sith,2005,1026150164,FALSE
61,3.1,76,6.9,6.9,143,3,PG,9-Dec-05,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,900723587,FALSE
42,2.9,74,7,6.5,116,4,PG-13,29-Jun-05,War of the Worlds,2005,715424296.8,FALSE
86,3.8,91,7.9,7.8,142,2,PG,4-Jun-04,Harry Potter and the Prisoner of Azkaban,2004,994517314.7,FALSE
58,3.5,38,5.2,6.3,115,7,PG-13,22-Dec-04,Meet the Fockers,2004,645787263.7,FALSE
60,3.3,55,5.9,6.4,125,10,PG-13,10-Dec-04,Ocean's Twelve,2004,453418828.2,FALSE
49,3.2,35,5.2,6,90,9,PG,1-Oct-04,Shark Tale,2004,459082108.1,FALSE
69,3.5,88,7.7,7.2,93,1,PG,19-May-04,Shrek 2,2004,1149769231,FALSE
81,3.5,94,8.3,7.3,127,3,PG-13,30-Jun-04,Spider-Man 2,2004,979683031.6,FALSE
50,3.2,45,5.3,6.4,124,6,PG-13,28-May-04,The Day After Tomorrow,2004,680323214.9,FALSE
74,3.4,97,8.3,8,115,4,PG,5-Nov-04,The Incredibles,2004,789282558.6,FALSE
80,3.7,49,5.9,7.1,127,5,R,25-Feb-04,The Passion of the Christ,2004,764854839.3,TRUE
74,3.5,54,6,7.2,163,8,R,14-May-04,Troy,2004,621746515.9,TRUE
78,3.6,23,4.1,6.5,147,10,R,18-Jul-03,Bad Boys II,2003,350840740.5,TRUE
57,3.3,48,5.6,6.7,101,5,PG-13,23-May-03,Bruce Almighty,2003,621991654.8,FALSE
86,3.8,99,8.6,8.2,100,2,G,30-May-03,Finding Nemo,2003,1113971832,FALSE
86,3.9,79,7.1,8.1,143,4,PG-13,9-Jul-03,Pirates of the Caribbean: The Curse of the Black Pearl,2003,839770411.8,FALSE
47,3.1,70,6.6,6.4,109,7,R,2-Jul-03,Terminator 3: Rise of the Machines,2003,556246758,TRUE
83,3.7,65,6.4,7.7,154,6,R,5-Dec-03,The Last Samurai,2003,586265893.9,TRUE
86,3.7,95,8.7,8.9,201,1,PG-13,17-Dec-03,The Lord of the Rings: The Return of the King,2003,1437468137,FALSE
72,3.4,73,6.8,7.2,138,3,R,15-May-03,The Matrix Reloaded,2003,952547456.4,TRUE
61,3.4,36,5.3,6.7,129,8,R,5-Nov-03,The Matrix Revolutions,2003,548509851,TRUE
85,3.7,87,7.4,7.5,134,9,PG-13,2-May-03,X2,2003,523311824.5,FALSE
41,3.1,57,6.1,6.1,133,6,PG-13,22-Nov-02,Die Another Day,2002,567025727.9,FALSE
79,3.7,82,7.2,7.3,161,2,PG,15-Nov-02,Harry Potter and the Chamber of Secrets,2002,1153349012,FALSE
82,3.6,77,6.8,7.6,81,8,PG,15-Mar-02,Ice Age,2002,503081452.6,FALSE
46,3.1,39,5.2,6,88,5,PG-13,3-Jul-02,Men in Black II,2002,579952267.9,FALSE
80,3.4,90,8.1,7.7,145,10,PG-13,21-Jun-02,Minority Report,2002,470417261,FALSE
73,3.2,76,6.7,6.6,95,9,PG,2-Aug-02,My Big Fat Greek Wedding,2002,484030881.3,FALSE
67,3.2,74,6.8,6.7,106,7,PG-13,2-Aug-02,Signs,2002,535885534.3,FALSE
67,3.3,89,7.6,7.3,121,3,PG-13,3-May-02,Spider-Man,2002,1078613528,FALSE
59,3.3,67,6.6,6.7,142,4,PG,16-May-02,Star Wars Episode II: Attack of the Clones,2002,852430975.1,FALSE
95,4.1,96,8.5,8.7,179,1,PG-13,18-Dec-02,The Lord of the Rings: The Two Towers,2002,1215888674,FALSE
63,3.4,39,5.1,6.7,131,10,R,9-Feb-01,Hannibal,2001,468894560.3,TRUE
82,3.7,80,7.1,7.5,152,1,PG,16-Nov-01,Harry Potter and the Sorcerer's Stone,2001,1299565845,FALSE
37,3,49,5.2,5.9,92,8,PG-13,18-Jul-01,Jurassic Park III,2001,491677898.6,FALSE
90,3.8,96,8,8.1,92,3,G,2-Nov-01,"Monsters, Inc.",2001,700446276.2,FALSE
79,3.6,82,6.9,7.8,116,5,PG-13,7-Dec-01,Ocean's Eleven,2001,600919721.9,FALSE
67,3.3,25,4.6,6,183,6,PG-13,25-May-01,Pearl Harbor,2001,598924903,FALSE
27,2.7,45,5.5,5.7,119,9,PG-13,27-Jul-01,Planet of the Apes,2001,482919671.6,FALSE
90,3.9,87,7.7,7.9,90,4,PG,18-May-01,Shrek,2001,645839752.4,FALSE
