audience_freshness,rt_audience_score,rt_freshness,rt_score,imdb_rating,length,rank_in_year,rating,release_date,title,year,revenue,rated_r
92,3.8,85,7.2,8,128,5,PG,9-Jun-89,Dead Poets Society,1989,449121409.1,FALSE
61,3.2,51,5.2,6.5,108,8,PG,16-Jun-89,Ghostbusters II,1989,410151533.4,FALSE
53,2.9,75,6.2,6.2,93,7,PG,23-Jun-89,"Honey, I Shrunk the Kids",1989,424108135.2,FALSE
94,4,88,7.9,8.3,127,1,PG-13,24-May-89,Indiana Jones and the Last Crusade,1989,902911069.9,FALSE
77,3.3,83,6.6,7.2,114,6,R,7-Jul-89,Lethal Weapon 2,1989,433876252.6,TRUE
47,2.9,58,5,5.8,93,4,PG-13,13-Oct-89,Look Who's Talking,1989,565542732.6,FALSE
88,3.6,92,8.1,7.6,83,9,G,17-Nov-89,The Little Mermaid,1989,350666921.1,FALSE
38,2.7,11,3.5,5.5,108,6,PG,25-May-88,"""Crocodile"" Dundee II",1988,218167988.2,FALSE
82,3.5,81,7,7.4,92,10,PG,30-Mar-88,Beetlejuice,1988,147115232.3,FALSE
81,3.5,97,7.9,7.3,104,4,PG,3-Jun-88,Big,1988,229470092.6,FALSE
59,3,5,3.8,5.8,104,9,R,29-Jul-88,Cocktail,1988,156127457.4,TRUE
85,3.4,68,5.8,6.9,116,3,R,29-Jun-88,Coming to America,1988,255783543.2,TRUE
94,3.9,92,8.4,8.3,131,7,R,20-Jul-88,Die Hard,1988,165680195.5,TRUE
90,3.8,90,7.9,8,133,1,R,16-Dec-88,Rain Man,1988,344948173.2,TRUE
84,3.3,86,7.3,7.6,85,8,PG-13,2-Dec-88,The Naked Gun: From the Files of Police Squad!,1988,157192136.6,FALSE
38,2.7,36,4.8,5.9,107,5,PG,9-Dec-88,Twins,1988,223421641.9,FALSE
84,3.5,98,8.4,7.7,104,2,PG,22-Jun-88,Who Framed Roger Rabbit,1988,312268615,FALSE
58,3.1,46,4.9,6.4,100,3,R,20-May-87,Beverly Hills Cop II,1987,319394671.1,TRUE
71,3.3,78,6.7,6.9,119,2,R,18-Sep-87,Fatal Attraction,1987,325590003.4,TRUE
82,3.5,89,7.4,7.3,121,4,R,15-Jan-88,"Good Morning, Vietnam",1987,257574173.3,TRUE
85,3.6,84,7.1,7.6,110,9,R,6-Mar-87,Lethal Weapon,1987,135533817.1,TRUE
81,3.4,92,7.8,7.1,102,5,PG,15-Jan-88,Moonstruck,1987,167612331.3,FALSE
56,2.9,87,6.5,6.6,117,8,R,5-Aug-87,Stakeout,1987,136502617.9,TRUE
58,3,58,5.4,6.4,111,7,PG-13,10-Apr-87,The Secret of My Success,1987,139249933.1,FALSE
89,3.9,80,7.4,8,119,6,R,3-Jun-87,The Untouchables,1987,158529078.6,TRUE
62,3.2,73,6.2,6.5,118,10,R,12-Jun-87,The Witches of Eastwick,1987,132539476.9,TRUE
47,2.9,74,5.9,5.8,102,1,PG,25-Nov-87,Three Men and a Baby,1987,348734793.1,FALSE
58,3,89,6.7,6.5,97,2,PG-13,26-Sep-86,"""Crocodile"" Dundee",1986,376591505.8,FALSE
94,3.8,98,9,8.4,137,7,R,18-Jul-86,Aliens,1986,185621091.2,TRUE
71,3.3,68,6.3,6.9,80,8,G,21-Nov-86,An American Tail,1986,182134789.9,FALSE
68,3,84,7,6.5,96,6,PG-13,13-Jun-86,Back to School,1986,196603537.4,FALSE
93,3.9,88,8.1,8.1,120,3,R,6-Feb-87,Platoon,1986,298446154,TRUE
70,3.2,94,7,6.8,93,10,R,27-Jun-86,Ruthless People,1986,154306521.9,TRUE
81,3.5,85,6.9,7.3,119,5,PG,26-Nov-86,Star Trek IV: The Voyage Home,1986,236362728.2,FALSE
47,2.9,26,3.9,5.8,94,9,PG-13,12-Dec-86,The Golden Child,1986,171957403.9,FALSE
52,3,43,4.9,5.8,113,4,PG,20-Jun-86,"The Karate Kid, Part II",1986,247976609.7,FALSE
84,3.5,54,5.8,6.8,110,1,PG,16-May-86,Top Gun,1986,380853328.8,FALSE
94,3.8,96,8.6,8.5,116,1,PG,3-Jul-85,Back to the Future,1985,462165115.2,FALSE
60,3.1,80,6.2,6.6,117,6,PG-13,21-Jun-85,Cocoon,1985,187212356.2,FALSE
84,3.7,53,6.5,7.2,161,5,PG,20-Dec-85,Out Of Africa,1985,191070314.6,FALSE
60,3.1,28,4.1,6.4,96,2,R,22-May-85,Rambo: First Blood Part II,1985,330073804.7,TRUE
80,3.4,38,4.8,6.7,91,3,PG,27-Nov-85,Rocky IV,1985,280607936.3,FALSE
57,3.1,35,4.4,6.3,102,10,PG,6-Dec-85,Spies Like Us,1985,131860128.9,FALSE
94,3.9,88,6.9,7.8,154,4,PG-13,7-Feb-86,The Color Purple,1985,206660859.4,FALSE
91,3.8,68,6.1,7.8,114,9,PG,7-Jun-85,The Goonies,1985,134714403.8,FALSE
38,3,48,4.8,6,106,7,PG,11-Dec-85,The Jewel of the Nile,1985,166716691.6,FALSE
80,3.5,91,8.1,7.5,112,8,R,8-Feb-85,Witness,1985,150771621.6,TRUE
81,3.4,83,7.1,7.3,105,2,R,5-Dec-84,Beverly Hills Cop,1984,533507308,TRUE
72,3.3,56,5.7,6.4,107,7,R,17-Feb-84,Footloose,1984,181885265.5,TRUE
88,3.6,97,8.2,7.8,105,1,PG,8-Jun-84,Ghostbusters,1984,542305856.5,FALSE
77,3.4,85,7.3,7.2,106,4,PG,8-Jun-84,Gremlins,1984,347890557.9,FALSE
81,3.8,84,7.2,7.6,118,3,PG,23-May-84,Indiana Jones and the Temple of Doom,1984,408766010.8,FALSE
64,3.2,41,4.5,6.6,96,6,R,23-Mar-84,Police Academy,1984,184529371.1,TRUE
69,3.2,87,7.3,6.9,106,9,PG,30-Mar-84,Romancing the Stone,1984,178103266.3,FALSE
61,3.3,78,6.4,6.6,105,10,PG,1-Jun-84,Star Trek III: The Search for Spock,1984,174015017,FALSE
81,3.3,90,6.9,7.2,126,5,PG,22-Jun-84,The Karate Kid,1984,206383818.5,FALSE
88,3.6,100,8.7,8.1,107,8,R,26-Oct-84,The Terminator,1984,178168716.1,TRUE
62,3.1,33,4.7,6.1,95,3,R,15-Apr-83,Flashdance,1983,220285758.3,TRUE
57,3,85,6.1,6.4,91,9,PG,19-Aug-83,Mr. Mom,1983,153581249.5,FALSE
48,3.1,42,5.2,6.6,131,6,PG,10-Jun-83,Octopussy,1983,160731608.4,FALSE
72,3.2,96,7.5,6.8,99,10,R,5-Aug-83,Risky Business,1983,150636755.5,TRUE
95,4,79,6.8,8.4,134,1,PG,25-May-83,Star Wars Episode VI: Return of the Jedi,1983,598793083,FALSE
38,2.7,0,2.7,4.4,93,8,PG,15-Jul-83,Staying Alive,1983,153839280.6,FALSE
54,3.2,56,5.6,6.6,117,7,R,9-Dec-83,Sudden Impact,1983,160358685,TRUE
84,3.7,88,7.5,7.4,132,2,R,9-Dec-83,Terms of Endearment,1983,257036604.4,TRUE
85,3.5,88,7.2,7.5,116,4,R,8-Jun-83,Trading Places,1983,214320190.5,TRUE
75,3.3,92,7.6,7.1,114,5,PG,3-Jun-83,WarGames,1983,188628895.2,FALSE
69,3.2,92,7.3,6.9,96,7,R,8-Dec-82,48 Hrs.,1982,192977753.8,TRUE
81,3.5,81,7.4,7,124,3,R,13-Aug-82,An Officer and a Gentleman,1982,317587527.6,TRUE
69,3.1,50,5,6.5,127,10,PG,18-Jun-82,Annie,1982,139613624.1,FALSE
71,3.5,98,9.1,7.9,115,1,PG,11-Jun-82,E.T. the Extra-Terrestrial,1982,878893732.4,FALSE
78,3.4,88,7.2,7.4,114,8,PG,4-Jun-82,Poltergeist,1982,187442468.7,FALSE
58,3.1,30,4.6,6.1,94,5,R,19-Mar-82,Porky's,1982,258122068.3,TRUE
74,3.3,61,5.4,6.7,99,4,PG,28-May-82,Rocky III,1982,303766229.8,FALSE
90,3.8,90,7.9,7.7,113,6,PG,4-Jun-82,Star Trek II: The Wrath of Khan,1982,193086527.6,FALSE
69,3.2,56,5.1,5.7,114,9,R,23-Jul-82,The Best Little Whorehouse in Texas,1982,170547987.8,TRUE
81,3.4,88,7.7,7.4,116,2,PG,17-Dec-82,Tootsie,1982,433578101.6,FALSE
77,3.3,90,7.2,6.9,97,4,PG,17-Jul-81,Arthur,1981,247968282.6,FALSE
81,3.6,84,7.7,7.2,119,7,PG,9-Apr-82,Chariots of Fire,1981,153186172.9,FALSE
64,3.3,73,6.3,6.8,127,8,PG,26-Jun-81,For Your Eyes Only,1981,142380022,FALSE
87,3.7,92,7.6,7.7,109,2,PG,12-Feb-82,On Golden Pond,1981,309852111.3,FALSE
96,4,95,9.1,8.6,115,1,PG,12-Jun-81,Raiders of the Lost Ark,1981,551261301.7,FALSE
80,3.5,88,6.6,6.9,106,5,R,26-Jun-81,Stripes,1981,221564822.3,TRUE
75,3.2,89,7.5,6.8,127,3,PG,19-Jun-81,Superman II,1981,281019809.9,FALSE
62,3.1,31,4.2,6.1,95,6,PG,19-Jun-81,The Cannonball Run,1981,187491419.3,FALSE
75,3.5,75,6.1,7.2,107,9,PG,22-May-81,The Four Seasons,1981,130989277.7,FALSE
77,3.5,91,7.9,7,110,10,PG,6-Nov-81,Time Bandits,1981,110047509.6,FALSE
74,3.2,82,6.8,6.6,110,2,PG,19-Dec-80,9 to 5,1980,295981184.1,FALSE
89,3.6,96,8.3,7.8,88,4,PG,2-Jul-80,Airplane!,1980,239137939,FALSE
45,3.1,20,4.9,6,116,5,PG,17-Dec-80,Any Which Way You Can,1980,202556128.4,FALSE
86,3.6,100,8.3,7.5,124,7,PG,7-Mar-80,Coal Miner's Daughter,1980,192513743.7,FALSE
60,3,88,6.8,6,109,6,R,10-Oct-80,Private Benjamin,1980,200149101.5,TRUE
46,2.8,20,4,5.1,100,8,PG,15-Aug-80,Smokey and the Bandit II,1980,189504484.5,FALSE
97,4.1,96,8.7,8.8,124,1,PG,20-Jun-80,Star Wars Episode V: The Empire Strikes Back,1980,600034614.9,FALSE
77,3.4,67,6.1,6.8,111,3,R,12-Dec-80,Stir Crazy,1980,290277362.9,TRUE
54,2.9,11,2.7,5.7,104,9,R,2-Jul-80,The Blue Lagoon,1980,168644860.9,TRUE
93,3.7,87,7.1,8,133,10,R,20-Jun-80,The Blues Brothers,1980,163993500,TRUE
54,2.9,71,6.4,6,122,7,R,5-Oct-79,10,1979,243487204,TRUE
94,3.9,97,8.9,8.5,117,6,R,22-Jun-79,Alien,1979,263216748.2,TRUE
94,4.1,99,8.9,8.5,153,4,R,15-Aug-79,Apocalypse Now,1979,271476717.7,TRUE
89,3.7,88,7.8,7.8,105,1,PG-13,19-Dec-79,Kramer vs. Kramer,1979,345592354.6,FALSE
43,3,62,5.7,6.2,126,9,PG,29-Jun-79,Moonraker,1979,228664986.6,FALSE
81,3.4,72,6.4,7.1,119,3,PG,15-Jun-79,Rocky II,1979,277040309.1,FALSE
42,3.1,45,5.7,6.4,132,5,PG,7-Dec-79,Star Trek: The Motion Picture,1979,267531465.2,FALSE
53,3.3,24,4.4,6.2,117,2,R,27-Jul-79,The Amityville Horror,1979,281106889.7,TRUE
85,3.6,84,6.6,7.2,94,8,R,14-Dec-79,The Jerk,1979,239668652.4,TRUE
88,3.5,89,7.8,7.7,95,10,G,22-Jun-79,The Muppet Movie,1979,212051774.1,FALSE
90,3.6,95,8.6,8,127,8,R,24-May-79,Dawn of the Dead,1978,213741861.1,TRUE
56,3.1,31,4.5,6.2,114,4,PG,20-Dec-78,Every Which Way but Loose,1978,308535411.7,FALSE
88,3.7,79,6.6,7.2,110,1,PG-13,16-Jun-78,Grease,1978,579356607.5,FALSE
68,3.3,88,7.1,6.9,101,5,PG,28-Jun-78,Heaven Can Wait,1978,295656760.8,FALSE
62,3.1,63,5.3,6.2,99,6,PG,28-Jul-78,Hooper,1978,282473650.3,FALSE
38,2.8,53,5.3,5.7,116,7,PG,16-Jun-78,Jaws 2,1978,281522192.1,FALSE
89,3.7,91,7.7,7.6,109,3,R,28-Jul-78,National Lampoon's Animal House,1978,434904844.7,TRUE
70,3.3,82,6.6,6.7,99,9,PG,19-Jul-78,Revenge of the Pink Panther,1978,179549193.5,FALSE
86,3.5,93,8,7.3,143,2,PG,15-Dec-78,Superman,1978,486064788.2,FALSE
92,4.1,93,8.6,8.2,182,10,R,23-Feb-79,The Deer Hunter,1978,177376533,TRUE
86,3.7,73,6.8,7.4,175,7,PG,15-Jun-77,A Bridge Too Far,1977,197739921.6,FALSE
93,3.9,98,8.9,8.1,93,10,PG,20-Apr-77,Annie Hall,1977,149041059.7,FALSE
85,3.7,96,8.8,7.7,137,3,PG,25-Dec-77,Close Encounters of the Third Kind,1977,453517815.5,FALSE
59,3.2,71,6.1,6.5,98,6,PG,7-Oct-77,"Oh, God!",1977,198952451.1,FALSE
72,3.2,90,7.5,6.8,118,5,R,16-Dec-77,Saturday Night Fever,1977,367087834.9,TRUE
85,3.4,81,6.3,6.8,96,2,PG,27-May-77,Smokey and the Bandit,1977,493813775,FALSE
96,4.1,93,8.3,8.7,121,1,PG,25-May-77,Star Wars,1977,1197208493,FALSE
38,2.9,36,4.7,6.1,123,8,PG,17-Jun-77,The Deep,1977,184478157.7,FALSE
84,3.8,87,6.5,7.4,111,4,PG,1-Feb-78,The Goodbye Girl,1977,397428019.8,FALSE
76,3.4,78,6.8,7.1,125,9,PG,3-Aug-77,The Spy Who Loved Me,1977,182500010.4,FALSE
71,3.5,31,5.3,6.5,139,3,R,17-Dec-76,A Star Is Born,1976,331977504.4,TRUE
92,3.9,98,9.1,8,138,4,R,9-Apr-76,All the President's Men,1976,292970147.6,TRUE
100,1.7,0,0,4.6,99,6,G,11-Feb-77,In Search of Noah's Ark,1976,231139337.4,FALSE
30,2.8,46,4.7,5.8,134,7,PG,17-Dec-76,King Kong,1976,218335151.8,FALSE
71,3.6,54,5.9,6.7,132,10,PG,18-Jun-76,Midway,1976,179350846.8,FALSE
68,3.2,92,8.3,8.1,119,1,PG,3-Dec-76,Rocky,1976,486492894.1,FALSE
72,3.4,88,6.5,6.9,114,8,PG,3-Dec-76,Silver Streak,1976,211963752.4,FALSE
59,3.4,78,6.3,6.8,96,9,R,22-Dec-76,The Enforcer,1976,191866398.7,TRUE
80,3.5,86,7.1,7.6,111,5,R,25-Jun-76,The Omen,1976,252813235.8,TRUE
75,4,0,0,7,27,2,G,19-Jun-81,To Fly!,1976,359365648.5,FALSE
60,3.6,0,0,6,88,9,PG,29-Apr-75,"Aloha, Bobby and Rose",1975,153609014.9,FALSE
90,4,97,8.5,8.1,125,4,R,21-Sep-75,Dog Day Afternoon,1975,219441449.8,TRUE
56,3.2,38,4.6,6.4,136,7,PG,15-Mar-75,Funny Lady,1975,171164330.9,FALSE
53,3.2,63,6.2,6.3,109,5,R,13-Mar-75,Shampoo,1975,216842095.6,TRUE
60,3.2,56,6.2,6.2,100,8,G,1-Jul-75,The Apple Dumpling Gang,1975,161741515,FALSE
77,3.6,0,0,6.4,103,10,PG,20-Dec-75,The Other Side of the Mountain,1975,152174306.7,FALSE
82,3.4,89,6.7,7.1,113,6,G,21-May-75,The Return of the Pink Panther,1975,183599406.3,FALSE
67,3.2,74,6.8,6.7,106,7,PG-13,2-Aug-02,Signs,2002,535885534.3,FALSE
